Sexo,Carrera,Nro_Legajo,Fecha_Ingreso,Total_Materias_Aprobadas
F,Ingenieria Civil,1001,2009-03-10,25
F,Ingenieria Civil,1002,2009-04-15,18
F,Ingenieria Civil,1003,2010-03-12,30
F,Ingenieria Civil,1004,2009-05-21,27
F,Ingenieria Civil,1005,2008-08-11,16
F,Ingenieria Civil,1006,2009-10-01,8
F,Ingenieria Civil,1007,2011-03-14,35
F,Ingenieria Civil,1008,2009-11-30,22
F,Ingenieria Civil,1009,2007-07-19,40
F,Ingenieria Civil,1010,2009-02-18,19

F,Ingenieria Electrica,1101,2009-02-20,22
F,Ingenieria Electrica,1102,2008-03-15,28
F,Ingenieria Electrica,1103,2009-08-10,16
F,Ingenieria Electrica,1104,2009-06-18,30
F,Ingenieria Electrica,1105,2010-04-09,18
F,Ingenieria Electrica,1106,2009-01-22,11
F,Ingenieria Electrica,1107,2012-09-14,42
F,Ingenieria Electrica,1108,2009-12-05,26
F,Ingenieria Electrica,1109,2008-10-11,21
F,Ingenieria Electrica,1110,2009-09-28,17

F,Ingenieria en Sistemas,1201,2009-03-05,35
F,Ingenieria en Sistemas,1202,2009-05-18,12
F,Ingenieria en Sistemas,1203,2011-02-22,5
F,Ingenieria en Sistemas,1204,2009-01-30,24
F,Ingenieria en Sistemas,1205,2008-06-15,38
F,Ingenieria en Sistemas,1206,2009-07-19,15
F,Ingenieria en Sistemas,1207,2010-08-20,20
F,Ingenieria en Sistemas,1208,2009-10-11,28
F,Ingenieria en Sistemas,1209,2009-11-21,9
F,Ingenieria en Sistemas,1210,2012-03-12,44

M,Ingenieria Civil,2001,2009-03-14,27
M,Ingenieria Civil,2002,2009-04-20,14
M,Ingenieria Civil,2003,2012-03-11,40
M,Ingenieria Civil,2004,2009-01-17,33
M,Ingenieria Civil,2005,2008-02-28,19
M,Ingenieria Civil,2006,2009-09-09,18
M,Ingenieria Civil,2007,2010-04-18,24
M,Ingenieria Civil,2008,2009-12-01,29
M,Ingenieria Civil,2009,2011-06-22,36
M,Ingenieria Civil,2010,2009-08-13,7

M,Ingenieria Electrica,2101,2009-02-12,19
M,Ingenieria Electrica,2102,2009-07-30,24
M,Ingenieria Electrica,2103,2008-08-18,32
M,Ingenieria Electrica,2104,2009-05-07,31
M,Ingenieria Electrica,2105,2010-01-16,27
M,Ingenieria Electrica,2106,2009-06-24,13
M,Ingenieria Electrica,2107,2011-10-09,41
M,Ingenieria Electrica,2108,2009-11-14,22
M,Ingenieria Electrica,2109,2007-09-03,10
M,Ingenieria Electrica,2110,2009-04-29,17

M,Ingenieria en Sistemas,2201,2009-01-25,45
M,Ingenieria en Sistemas,2202,2009-06-14,17
M,Ingenieria en Sistemas,2203,2010-09-09,23
M,Ingenieria en Sistemas,2204,2009-03-08,29
M,Ingenieria en Sistemas,2205,2008-05-30,26
M,Ingenieria en Sistemas,2206,2009-08-18,12
M,Ingenieria en Sistemas,2207,2011-11-27,37
M,Ingenieria en Sistemas,2208,2009-02-13,34
M,Ingenieria en Sistemas,2209,2009-10-26,16
M,Ingenieria en Sistemas,2210,2012-07-01,43
